# Generated 2020-10-28 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-10-27, "_753458.exe.bin", -, 59e60ece0e60405208cbc7e70ec2976e, eb979e1cf0b22b014dd45002410e76ab0933eadc, 122e07e643bf9f2a56689faf96ea1c89337b48eb64f8d2ad10afd13e456e8a64, 384:O8aSyS9gB3Y1KIay2X8cLZI6XgxsGJVPpmRvR6JZlbw8hqIusZzZHJ:B589tXvRpcnuC,"_753458.exe.bin", Windows executable (MZ), 24064 bytes, nh:2844f9b7ca4a58c2fbe66754e25358b2, -
2020-10-27, "doc emotet epoch2 heodo", "http://www.weblabor.com.br/avisos/E8Gmtn4wRUcBj509Lcs9p/", 752371df17b96f2caec160321503d359, 30b6dbd39f8ede6b6a0ecab524615658b7edf3ca, 58c6d43427679cdcaa82662a3a2421ce675d528b81de08448e7c904c9afcb992, 6144:YvFx/K0muR27ANQwzwYYYMgT+oh53mW7bI3Yf2mZxPhr+e5fn71EdMpVgOVFbCWu:Z6bPRDV2j,"758211.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 197120 bytes, -, -
2020-10-27, "doc emotet epoch2 heodo", "https://sarfco.com/wp-content/ATgBK5i5dyAnQQrNJacSfEZLGrejThKuJLyBQjSj/", ca7c76efe9fe7bc841ac2e1a54c39127, aeed1c1932b578367f781b56d26cce42dbc52941, 30fd05291d39b5fa6a8f5ce2a03818679f4c7bd25f18fe933c78efa7516cd787, 6144:RvFx/K0muR27ANQwzwYYYMgT+oh53mW7bI3Yf2mZxPhr+e5fn71EdMpVgOVFbCWf:e6bPuDV2B,"758153.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 198144 bytes, -, -
2020-10-27, "doc emotet heodo", "http://qm.vishou.net/plist/attachments/attachments/ls4y5pt-0526125/", af1607b554a8920e85dcbf43fe9b55c4, 44671f0090f6d13edd07faf4803544f6c4dc8a5e, e2bbf218b2f6bfdef878d35313c3ecc99c6608aa8c7c8f261b59be4a20673f22, 3072:6+H2/X+4SzEmrifOo6CVnL91mN0KqwXuJ5Khg1axQzADIleRarxxWLpHGZ1ECr4D:6+H2/X+4SzEmrifOo6CVnL91mN0KqwX9,"758271.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 176128 bytes, -, -
2020-10-27, "doc emotet heodo", "http://qm.vishou.net/plist/FILE/5wnnvfq-57178/", 04bb18497144466251f0b35eebed5e53, a3d90385937e4733f87ee9677c8071b6c9a14474, ab8a246400a024e5490c031fe13b4c892da8e1db9687fd937766669b28467255, 3072:Z+H2/X+4SzEmrifOo6CVnL91mN0KqwXuJ5Khg1axQzADIleRarxxWLpHGZ1ECr4o:Z+H2/X+4SzEmrifOo6CVnL91mN0KqwX2,"758250.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 173568 bytes, -, -
2020-10-27, "doc emotet heodo", "http://www.xmecn.com/wp-content/wLsLem0uR/", dc6c5577a4c26c7ef033252f5d8d5d88, dba988c9c24a7880bf06cc01d214831a997012e6, 0543f2a79034d979e274c82c77ba11ec29704960d1f21ce51dbb3d9982ba832e, 3072:/vFx/K0muR27ANQwzwYYYMgT+oh53mW7bI3Yf2mZxPhr+e5fn71EdMpVgOVFbCW9:/vFx/K0muR27ANQwzwYYYMgT+oh53mWb,"758344.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 194560 bytes, -, -
2020-10-27, "doc emotet heodo", "https://www.siyahkalemresim.com/sys-cache/gvz7xbiu84/4v2ceszy27lniu5xa0qxom//", 1e85a668d633a9e489dd38cd6180f998, e95a0d473c27c5bdffeb0d33e456265ff625e62c, dbd52eeae1181eeddab6c7e1fc6a63564fdf6c6ab43a2ce880a8f1af89531022, 3072:9BeY5kb0TUNAuBqVPlB11nBMhPtT5IF+fRn9T:9EYOb0TUquBqt7nBAPtdIEfRn9T,"758208.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 145092 bytes, -, -
2020-10-27, "doc emotet", "https://plutusplus.com/wp-includes/public/83272/vQUhRjj/", af1607b554a8920e85dcbf43fe9b55c4, 44671f0090f6d13edd07faf4803544f6c4dc8a5e, e2bbf218b2f6bfdef878d35313c3ecc99c6608aa8c7c8f261b59be4a20673f22, 3072:6+H2/X+4SzEmrifOo6CVnL91mN0KqwXuJ5Khg1axQzADIleRarxxWLpHGZ1ECr4D:6+H2/X+4SzEmrifOo6CVnL91mN0KqwX9,"758323.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 176128 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.arm", d8c4d6eedc3c6fc08ec2b06cfad668ea, 0a6ebc43a134590e402edd386a4abb9e082316d4, 4482bd63246685a5466f41289bc21b989e5587a4a56eebf351d8e6e63f097957, 384:pgLEC5rX9ikrP18Cxncl8CtHkobn5/B0xGxQGmn+kpRJ+YsGmyMhymdGUop5hW:poESNiC8CxnUdhD55uwXmXJ+5G0s3Uok,"758276.bin.TMP", Linux executable (ELF), 22476 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.arm5", 2944fdd01cf26d49cbece01ad982d80b, e35dc4ee25518ba82cdff3cc899fa377b52a9140, 8d1f4a2591184e6a06fdbe04971bd5c16a148de4f6167cf6ccaa7fd66f9cd4db, 384:cVD5qbWJj+woWlb7mNCSr3Rj7iMFra6PMthdZThymdGUop5hs:2D5KOTog7mNxr3Rj7iM9Cvvs3Uoz6,"758274.bin.TMP", Linux executable (ELF), 22460 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.arm6", 6547719f67a62be42cd46a10af716d64, c2a809367d12908a513b4faa11d78f10d0ecbf9d, 77ce56ca9c171954ae2bf2cb384f52574fe21dd77de37d3e1de45ae1b94f0cb7, 768:E9xM13LhiMUsg5iFZOVTUzp7KOxDK8c9q3UELJTr:E2hhNg0FUTqp+OxDXlL5r,"758273.bin.TMP", Linux executable (ELF), 27452 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.arm7", b515eaabc4309f937f88930914eefb5a, 9b845ec280d0afc653246c3466d61a320f6276d8, 6705d6e6e2466b30bf46d6ab2c23bb299372720060cdd14022e5ae827c26940f, 768:Ftf3ZnAnCh5cx6kq4SDNmfHwerUSFAsYs4BSm9q3UELiLnI2t7+uFPS+d:Fh3ZAnCko42m/werUUHDLLiU2tiI,"758280.bin.TMP", Linux executable (ELF), 46792 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.m68k", 765c5aa3c6665b79c05c99ce644be004, 008bd0e96beb1b2f845ce5aa7707755904eef009, 885cfc1e7e357f88344079cd8df91f31fa361361fdf1e44cc5b1fc3d8313736c, 768:i/eTp2hZh4abfCMa0fiz2dv7lOtFn/v6FNSENPdeEjzcIC8mTCwhR:iuq4jMGKh4B/vXENPdfzcr8UC2,"758272.bin.TMP", Linux executable (ELF), 51472 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.mips", f5b68dbe5b6a0fc6a2e8407563a0f256, ded0d53900cf78fdf9d7312b1352cbf4bc35c8a8, 7545da74ccb5454ee42157d8fd18857a4e3a6a325d4fa0a84d47b14440535a48, 384:7b34k2kJrd/aTsR2aj1IaTGC0OfEqZMQqU2oXzQjjVUZyO/MfXdpsE3pS8JgGlzd:P34yuT/7aTGqMQrjsj4xIdCqS8JgGlzd,"758277.bin.TMP", Linux executable (ELF), 24048 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.mpsl", 047cd8bf631d3de0f650fc1aa253dd0e, 061a2514f5a5cfa5931f4ae7cce515d5037c2a87, 563d40dc78171bf53271b2ab7f8dc5abd37915a595889787951b1ce8aaa36930, 384:HFlBUkgXosS2QACmjjAEdQqJIn4gh+tTyPBvILatUkc04GEmudTbuxUEVmVaRWGG:OkWAaLjjFeFn4JWvILath4GEmuhbmQVb,"758275.bin.TMP", Linux executable (ELF), 24524 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.ppc", ece433e593f785cc2a4a15e383118058, cdccf0fda232ee469cfc89a921c05228d873a529, 5bafd2428618124d6be03ce6a69fddf34f0582c00c5ccd5c1f13dc268a1048e5, 384:c9ICojPedF4jdNjD9w93GlEdwWElWhFOyv3XOeT+LQAf9kLnVM4uVcqgw05VxJP:mzehNlwI8wWElWhFOyvH/sT4uVcqgw0v,"758278.bin.TMP", Linux executable (ELF), 22232 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.sh4", bb18f381189a6b93f86929c72b4d1712, 9367647c35e27f5c65814f83ef9addc0f82eadac, f2790d7fe35ada0bff9f6dd105e91a8ec25169d56acc47c4b468f177d78931b7, 768:kBbYO9FeDmjkDCUVOhr9rLoCQo25NBFCLpib/:ktT+H1VOhr9gs2ZFCLpi,"758281.bin.TMP", Linux executable (ELF), 46116 bytes, -, -
2020-10-27, "elf", "http://172.245.22.212/beastmode/b3astmode.x86", c5693999db377980ec479f64f751bef1, a10de7fef0aa7e89a95212975afd99d28290dd3b, c4c0b82477072826b91e13bd07e6304fa6e5817197dcfe6dd6bfb6cd571cf586, 384:MWKn2cNV2Jq5AeALov9O/ogWlU+pE/lnb8csNQBKxxp4PEmxP6sNyZ:CfVB+eALovIoix9nYPx+HJeZ,"758279.bin.TMP", Linux executable (ELF), 21900 bytes, -, -
2020-10-27, "emotet epoch1 exe heodo", "http://datawyse.net/Ccl/5W/", ecc7059a2301cb5b3e27ad792abb04c3, c539b4741d45394b85729ce36fdd617fd4a99444, 213d731f74f6d2c86c706b62a4a857c9f25b28973a64603090e0b5c390af5246, 12288:z3MzbgCeHXbGyHmJTVtEt/tVtJtUWZfHMoXaCeG4UzX:zOsCeHJmJTW9XaCeGV,"758265.bin.TMP", Windows executable (MZ), 560640 bytes, rh:8d9408d17778787785cdfbfbd48e73e8, -
2020-10-27, "emotet epoch1 exe heodo", "http://gk725.com/breadbox/mlu/", 3da09a7901d22b82591f487a3069c4b6, 25d58376a41604468b2adc5206ddf66fde3d388e, d2d5603e680f9ecc01519df7fbd72371a352d97ef224dd8ddd09f4c93cb2fc7e, 12288:z3MzbgCeHXbGyHmJTgtEt/tVtJtUWZfHMoXaCeG4UzX:zOsCeHJmJTZ9XaCeGV,"758262.bin.TMP", Windows executable (MZ), 560640 bytes, rh:8d9408d17778787785cdfbfbd48e73e8, -
2020-10-27, "emotet epoch1 exe heodo", "http://ppzo.top/wp-admin/o1/", 50c3765c1bb430b2e2b705fd8c2cb3cf, 9b7b82689746efc19179203e07a667d47116118b, 2cf98e5ee0ab06fc6a09ec7c887f63f1a0d8b4eb195b5cfc73636b67ab19712b, 12288:z3MzbgCeHXbGyHmJTztEt/tVtJtUWZfHMoXaCeG4UzX:zOsCeHJmJT49XaCeGV,"758264.bin.TMP", Windows executable (MZ), 560640 bytes, rh:8d9408d17778787785cdfbfbd48e73e8, -
2020-10-27, "emotet epoch1 exe heodo", "http://www.josejuanarroyo.com/antithetical-bulblet/l/", e7f453e8f65d89b3b60db2d8466b932b, 3753ea734189257833e9224531a77d0257831358, bc99dee239e4aed80c65599fe72dfe072499d040d99ff9a3155e73f3182b0f8e, 12288:z3MzbgCeHXbGyHmJTKtEt/tVtJtUWZfHMoXaCeG4UzX:zOsCeHJmJTX9XaCeGV,"758260.bin.TMP", Windows executable (MZ), 560640 bytes, rh:8d9408d17778787785cdfbfbd48e73e8, -
2020-10-27, "emotet epoch1 exe heodo", "https://suksiriestate.com/cgi-bin/xjz/", 8a89dd1752af6006dbb131d2a19d9548, 809f1385e3d11e0e1d896fdba867cf26805ae7ec, 48cd3d5a12463627c90db91f6fcd98de2830221542ac71fa94c9df57dd532307, 12288:z3MzbgCeHXbGyHmJTmtEt/tVtJtUWZfHMoXaCeG4UzX:zOsCeHJmJTT9XaCeGV,"758266.bin.TMP", Windows executable (MZ), 560640 bytes, rh:8d9408d17778787785cdfbfbd48e73e8, -
2020-10-27, "emotet epoch1 exe heodo", "https://www.buckzy.net/wp-admin/zF/", 8c3ce07a653b523c77406391ed335eab, 136618c3f507749cf9700d08fe5d90110c0bcbb8, 0d361a41dab9dafc56a331a7be83118222dfdc6f5b762c278d54135ef7b706d2, 12288:z3MzbgCeHXbGyHmJTdtEt/tVtJtUWZfHMoXaCeG4UzX:zOsCeHJmJTu9XaCeGV,"758263.bin.TMP", Windows executable (MZ), 560640 bytes, rh:8d9408d17778787785cdfbfbd48e73e8, -
2020-10-27, "exe RedLineStealer", "http://gferhrolklm.top/fortestble/infostati.exe", 6f952b81a92f7f780923635648b428c0, 6c82f9a7c8667e92fe067789b8bceed727017b02, b185c97cf356748005cda3b4ccb5a6df0e059c8869ba3b3f33595984bb60f380, 12288:w7Ae7pFuz9hDSRCsMQd3VlUkh0OMH8K0778HTF6p:QAeLE9Mya3DUujMHhK7Up6p,"758221.bin.TMP", Windows executable (MZ), 762880 bytes, nh:dd2e953dc2f1320e9a3b8709b3731f94, -
2020-10-28, "_758283.exe.bin", -, 2891aca8bab0c69747589d80a9beb6fb, 9e1803e54f90ea5b9312f8bc7dd31646dcd38a59, 1691cf98473b3ae712d618fd4d4eb151eaf824df6f7c01f3a9ff0ff231d9bac1, 384:7SdaB3idNFDnvr/9oDPlMNcLlb5sVK4ya5Ct:7SdaB3idNBzclMNE6o,"_758283.exe.bin", Windows executable (MZ), 16896 bytes, nh:32dddb9123cd2e8a74fffbb244d8ae42, -
2020-10-28, "AgentTesla exe", "http://216.170.114.73/hkcmd/vbc.exe", 981e5205357b236c348d4f43f01e4936, b907ab89fe63fe6840f9f12ea49f4993f71f0711, 09039ff8c6c08c31f158428d4f78123e5afc57f0751ab877d84011897c512f1d, 12288:S03Jq8HcD+jriJhosMPOvGJvh+PSZEAlfsoUXtI/dHqNZnfT7NeWzI9YRTd:T3Uuc6jy6Bh+PAJ16tI/pKAWzj,"760941.bin.TMP", Windows executable (MZ), 838656 bytes, nh:9c8f322db0c3e18cdd91192ea94057dc, mh:7a0a973e065bfa3e9626bae3d6b8b48f
2020-10-28, "AgentTesla RTF", "http://216.170.114.73/hkcmd/qutation.doc", 1c12563cb1b1492f69f480b5d72387a9, 1f1c130d39af75182953692b34ab62f947a0d7ad, a2432a7b6ba159d88257adf16910a88960acd10ddc57b8922ddc74148748b98d, 192:VqyQOyS46e/2nmn8eLcD4hdOJZLog4HvbLI0fIHYl:V4iJe/2Q/nUC3HI0gHO,"760932.bin.TMP", RTF document, 10493 bytes, -, -
2020-10-28, "AgentTesla", "http://149.202.110.7/doc/jew.exe", fff6dec3f67b3348c16eb772582b1178, b25689ef8f8279125071682f49ae63e39e6fd839, ae4a18514d59d20b0c0ecb8376b54cece7427cf0d2e360ea8994fda7416652a7, 24576:6DyW4wnSjnJLeMI9QFSRUJ3zCms8S3KuAOG34Ww:6DyWsjnMowC3zCmsT3KuAi,"760448.bin.TMP", Windows executable (MZ), 960000 bytes, nh:a937644141e85a2cad2c332d04d5fd0a, mh:0a64552cfe5babc35ec344e416dcf7d5
2020-10-28, "AutoHotkey ESP mekotio zip", "http://deudaurgente.eastus.cloudapp.azure.com/jklmn64bits.zip", cc432f536ce5df3dcf52f859e0b65489, 15d6819b82f95dfeb7a609e4895ce3cdb74b0622, cb30a982d0875a3240c21a06b0a20f481fe4e18b558c048463b6fe43585a4851, 196608:zOpZoO6Ce2dS+olGuhsLlM4KvKmbQ6HcKwu4N5tBAFmTiE:zyZNhdS+UGuhn4658KwuiAa,"760132.bin.TMP", PKZipped file (Office .JAR .WAR), 7291644 bytes, -, -
2020-10-28, "AutoHotkey ESP mekotio zip", "http://deudaurgente.eastus.cloudapp.azure.com/uytf32bits.zip", 5adb8d14917912cdd81c9c036dc1b037, 2318e75333e950cd0e5c956cdfedb1d65e4d1cfb, a09add137b09127daf27593970a91bb49f7dfb8dc437c8881fde56ab3b0373a1, 98304:3jQINgJgR9TrL50RXvHQp8RD3aXaEwON63haLcBM/xG5gMJtk9NLH3LknXUQ+X:3IO9TxefwGRDALECSQ9NDL/,"760133.bin.TMP", PKZipped file (Office .JAR .WAR), 6433853 bytes, -, -
2020-10-28, "AZORult exe", "http://ewpoatk-71.cf/wp-admin/import/sql/reqrm.exe", cc219392a073e3c644174607af417b93, bc886a54b29a6176d88809a364c669d013403378, ea9930998c8123058a6d1768c857bf6504a933be30556afb4dad2e192e4e8c45, 6144:3lzdTZ4rjNxG/i/OfFGr6pp0tF44xRITQH3YMGmDsyUsLFSJ0W7CMz:3V/4rjvGiO9C6ppSLxyU3kisVSPM,"758537.bin.TMP", Windows executable (MZ), 496640 bytes, nh:13261ca42e07665057bea7c2e805bc79, mh:7d600c60667b75037908fe31ff2ce77f
2020-10-28, "doc emotet epoch1 heodo", "http://180clubrealestate.com/wp-includes/FILE/zLhDj2mjqvkC5XfbI/", b9b9ef314378c66e27d8174d7cec9782, 31a7e0ffa503ffc3915cd933807e5171d6456619, f1ae5f1b0254e4e6517e7e89de3a1a57b7666e9f931daa590b757fb3fb105727, 3072:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRLfVXmzF0QNZ1xqlKCfE6Qwdr4djnnd8WC+:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRLc,"758730.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 180736 bytes, -, -
2020-10-28, "doc emotet epoch1 heodo", "http://bbwbbs.cc/wp-admin/attachments/lI4nq7llW4e/", b9b9ef314378c66e27d8174d7cec9782, 31a7e0ffa503ffc3915cd933807e5171d6456619, f1ae5f1b0254e4e6517e7e89de3a1a57b7666e9f931daa590b757fb3fb105727, 3072:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRLfVXmzF0QNZ1xqlKCfE6Qwdr4djnnd8WC+:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRLc,"758727.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 180736 bytes, -, -
2020-10-28, "doc emotet epoch1 heodo", "http://cattskiespina.com/wp-content/LLC/bW2CPo2hqV4R9LuHqpp/", 23161d44e0cd961ae72a2c6d5c886b0b, b1e15dcc7247d6ea3308f1967cbd551317f8b8ca, 8ec484a33a9d6faa812349834788233eb6831589c4190ec8431302da9c9e0757, 3072:cBeY5kb0TUNAuBqVPlB11nBElE5kMYEYFX53AA:cEYOb0TUquBqt7nB9kpE0XxAA,"762086.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 211914 bytes, -, -
2020-10-28, "doc emotet epoch1 heodo", "http://geekdeer.co.za/wp-admin/browse/UNoqKfbGOF0apv9t/", 644021d7696877e92a91e9b948cd5cfd, 1524c81082d528dcc9842d8f30f78d1439f1adf5, bb767a987c3bb38d105c55a5e17fe4bec3ce116f87235dce04be1f03c3ba6fcc, 3072:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRLfVXmzF0QNZ1xqlKCfE6Qwdr4djnnd8WCS:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRL4,"758721.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 180224 bytes, -, -
2020-10-28, "doc emotet epoch1 heodo", "http://hiclic.com/__MACOSX/docs/ze6KNlYVwGgcYBvUPHM/", 23161d44e0cd961ae72a2c6d5c886b0b, b1e15dcc7247d6ea3308f1967cbd551317f8b8ca, 8ec484a33a9d6faa812349834788233eb6831589c4190ec8431302da9c9e0757, 3072:cBeY5kb0TUNAuBqVPlB11nBElE5kMYEYFX53AA:cEYOb0TUquBqt7nB9kpE0XxAA,"762095.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 211914 bytes, -, -
2020-10-28, "doc emotet epoch1 heodo", "http://idealcuisine.com.tn/360/lm/egOmWFaDpJ/", 644021d7696877e92a91e9b948cd5cfd, 1524c81082d528dcc9842d8f30f78d1439f1adf5, bb767a987c3bb38d105c55a5e17fe4bec3ce116f87235dce04be1f03c3ba6fcc, 3072:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRLfVXmzF0QNZ1xqlKCfE6Qwdr4djnnd8WCS:aMVoCCB+0cajMDlUEJg5VXIq/SU/gRL4,"758722.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 180224 bytes, -, -
2020-10-28, "doc emotet epoch1 heodo", "http://lavi.com.tw/lavi.com.tw/INC/1ZLzMXO1socxzP0/", 23161d44e0cd961ae72a2c6d5c886b0b, b1e15dcc7247d6ea3308f1967cbd551317f8b8ca, 8ec484a33a9d6faa812349834788233eb6831589c4190ec8431302da9c9e0757, 3072:cBeY5kb0TUNAuBqVPlB11nBElE5kMYEYFX53AA:cEYOb0TUquBqt7nB9kpE0XxAA,"762098.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 211914 bytes, -, -
