# Generated 2020-06-29 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-29, "_2020-06-29_singlefile_7z.bin", -, 0a0bad9094bb9cf6f4622b96eb47d51b, 9a67f6560a25f8c594b553a7a7f7b8bcf553da21, 379854fc873978e3a94577f75b15d4f991cb9769b07bb4f31ca26bf7fe7697c9, 6144:nTRsVlMkn5+vyC7Bqa6b/n9qDhnXES6mDQ9Tu:nTmlhnCWa0PUDhn1MI,"_2020-06-29_singlefile_7z.bin", 7z file, 206364 bytes, -, -
2020-06-29, "AgentTesla", "http://www.customeroues.com/mpa/2.msi", a4e936af701c83ed4d07af413f4c039f, f25156a6e11d1b175678e2eee0382028b283e8ac, 577c799741ffcda42f53f5bb419a4b5e1acf2f7e5aff9c7e002c93cd3e9c8327, 12288:LES6/nE1LNMfw33W0VJXQPSyu5hBf3b3hjtBfEub2aEAmD:LESNJW0VJg6yuVbFXbD,"403024.bin.TMP", Microsoft MSI, 552960 bytes, -, -
2020-06-29, "AveMariaRAT exe", "http://193.56.29.251/service/PO90841.exe", 9d47d65a8127364dccb46520226033b6, bff89d82dbd1032ac58dc13712c33941fef6be03, cac83c61e6b23f7738c2b1d957cbe03871be7c6fdd9b2e258f7526a73fe498e1, 6144:hLks/FElIhrRSckdA+6Rj9eIzkYCHlOdZyadeXIBiN5lbMCZU+08tkDkt8n/Yrnv:hLc6WdA+ACuZO09m71,"403279.bin.TMP", Windows executable (MZ), 806400 bytes, rh:0052c61d3b12e24016c08fdcbe600b57, -
2020-06-29, "DDoS Bot elf mirai", "http://37.120.140.222/bins/arm", 38b21e241d4f46896e658507afc0980d, c4777cfc45a0143f626c50ba5ab541d21f285442, 93f806905a3551f33e299a15450c1d9a2d55f1da4b989a1374aa9ac25d5d4c11, 384:bJbhzdJvVIB9AtMhZ0gKIll+DHziWqkhJ1VC21amjxAMXJAZKy2nXu/P3mmdGU5W:bBNKBl0gDMHmWqC1aExogy2n+/P23U4,"403270.bin.TMP", Linux executable (ELF), 30764 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://37.120.140.222/bins/arm5", 2665214e81d7f357a33786d44a03850b, 18f6861d4d0927fc05e4a9ab6b81033aee299b29, b94666e84d9b7e60e999a6bd8ca923a0770ad88b15c09a2d10cb67fb3c567680, 768:CdFZ5UFTW0HH/fXeVcXzL8nGOdBVil3UcJ:CQTJffyCzL8nGO2,"403271.bin.TMP", Linux executable (ELF), 27168 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://37.120.140.222/bins/arm6", 9902394ed51ac04a36d5322b887f320a, 12898d99c4f333dbdf45bbd8644a78646056cc80, c86baba196cd3a55a49d3890c12be6f12bae144d026abb710f8acec512a357c7, 768:YdUIRDklx8B/XnSW7PxPNkC5LlgqfKZk5FhPAJq3UInT:oHRDUuBaW1PCkCq5FhP7T,"403272.bin.TMP", Linux executable (ELF), 35392 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://37.120.140.222/bins/mips", afd9735ebd7b6d3c33ff8b7b907bd0a7, 926c32db5c9e29bf02055cd96e3908e85e06f6b8, 3afd3b3ff67bc2dbaafc76b8c295d1f4865535fc841deeda37b8ff99a3997ca8, 768:q0WX9BtYD5anebCbhU3kWK1z4JgGlzDpUYsQ:wBqD59bk0kWK1z4VqY7,"403273.bin.TMP", Linux executable (ELF), 24764 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://37.120.140.222/bins/mpsl", 67175bcc4b45583aacd7c2ab9feddcd0, 7e91ef79b4a55f0caf1926df40463c02366c88ca, 23ef203da0df56d646bd64721ad1b8073e4e2d7bf5f86ef278b24fccc706458b, 768:uCRN3IoBuQ3/1PcpGgNNz9z305QyICEay7WMu:uKN3IMuQtcEgNNz9705QyICEaR,"403274.bin.TMP", Linux executable (ELF), 33696 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://37.120.140.222/bins/x86", f36afbdbddb7abfd3ec12283cfbebc31, f9ec2a44694dbfd63bc883c1a11a9fd582f04948, 07d3d072efa930c419ee741ae988c72ecb3de90bc560d83f813595c32db6d125, 768:mL+w3I4hpr1lP0mX1gpl0BkjbvVmQKejNyuXRQnbcuyD7Uiyq0:mv5h51lhX1gldFmQKejNybnouy8Zq0,"403275.bin.TMP", Linux executable (ELF), 30956 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://37.49.224.46/bins//x86", 9ca0210600b17ec33afc11e3032b4761, b9ee51cc947df00d2520aace08873401c0cc82d4, c6491fda109a78b727221a71d5b22f991f1bd100894168d7579e189a53068323, 768:w+w3I4hpr1lP0mX1AkY1J+Xc3ydafbd0LRAnbcuyD7Uiyqp:wv5h51lhX1LYP+XcYG02nouy8Zqp,"403252.bin.TMP", Linux executable (ELF), 30940 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://45.84.196.135/bins/m68k", e8e4947b6328a6709ac87332f9d9dde1, 381dbc09c2959fc9f887e45635cbb293888ff968, 5514caa59c8a546c2d2a8c762a9643768dce711e611660c337b2e33715bc7cda, 1536:rbf2i2AYmS403eSel6hSB08GAkbfB4poC8+3xOyglg7rfo:rbk3ZHSB08VaixgSHo,"403245.bin.TMP", Linux executable (ELF), 73084 bytes, -, -
2020-06-29, "DDoS Bot elf mirai", "http://93.157.62.58/bins/sh4", 2da833662f511645d21519abc0dfdd63, 492350f3aa932091c3985dca55ac7c9653bab096, 5327538c8c4718b6173e6e5fe2a750740161eecfcf589df9c2b3ca56410a3199, 1536:LaC/U15GAewtuN7eS1GhfYzFE8mnVOQnkXVCSCa:Lb81kXNaS+d8mnVOQnkXVJ,"403243.bin.TMP", Linux executable (ELF), 66596 bytes, -, -
2020-06-29, "ddos elf mirai", "http://45.84.196.135/bins//arm5", 1beeedc92a9c07290522143cd9a18a72, 2a27a57dccae6704f6ddc803547a120fdb80fa5f, 5b81759f7a9164b354476dfc9774ede0b5dbcef4934e16a74d1f73876e4aa007, 384:bRo8lCl7huFzgtB0wa10MGtySm4ifrpOLgOYyZGLFYaq/pRqivtmdGU5EwC:bRLCUgt3a10NifrC88aqhEivt3UbC,"403246.bin.TMP", Linux executable (ELF), 27172 bytes, -, -
2020-06-29, "ddos elf mirai", "http://93.157.62.58/bins//arm7", c7a4dcac9a2b6b75c2b64d9a0994ec2f, 09d0473069cc1fefdad9b9fa78577ff22a68ed0c, b80bb0b3cd9bf705cd8e80f2760b3fa4226c15aa89962ee19276afa3d20afbe6, 1536:zlUBGL+3NCCTL59uef4bvQtEMnDK9JO3VCA:zuBGC3NCm5xBEMDIOlV,"403244.bin.TMP", Linux executable (ELF), 54940 bytes, -, -
2020-06-29, "ddos elf mirai", "http://slot0.athakics.com/YaO2uFOvUG8LV1y5NY1aCHmr1WdBLjcjiVD6aRRAWDL6oNY29J88y0nrXxaHBmTLEYC9yB56gBn95pco8kCbldVsHmjNQk8JTaC/Meth.arm4", 2550cd57a9c65f63f7c246296cb716ac, 8c7be516fab94b0cd3deb1568d99b08e57776b6c, 40e755b825ccf235e0d35e066650542eb3165ce81354984c82793e66c8dba469, 768:cfF+or1OZ7LtAJwMkskVnfYhxxDLbRlMbSUdrX0iawc8X5Z9Bqsm/e/3Ugt:qjOPtAJwMZEnfGxjR43VXoY9FlFt,"403258.bin.TMP", Linux executable (ELF), 42300 bytes, -, -
2020-06-29, "dll Dridex", "https://bentorium.com/vapirum409.dll", 1dbbce7b3bf66574b877d33326c17f02, 32376d51c297c0d3fec7c98d5b1bcfb2a5917468, 72d14b5dbeb6122616375a565b069cb2ef855fc5f581eddc6851d9bda1ed0974, 6144:SUm+fu4a7F59VNb8arKsuzzXUFjFBaEzT7ZorNjHVNdAc/0:SUm+fw779jb88T0zoFlzipdf0,"403305.bin.TMP", Windows executable (MZ), 321536 bytes, nh:d8bae2475cd1db367932cf068374c840, mh:5e3a0c57a57730cd079df15d03d22bbf
2020-06-29, "dll Trickbot", "http://170.130.55.156/function.php", 4965e893ed79a4eba4820c531a9d4b2e, 3438d438d35a3cc62b8f91db084750799217acfc, 0dbc798bbacd497e3449f39e14f258bdfeb8394e0b62577ba3b63547f78ab75e, 6144:tYVng4jpO/b5qt3cCJ4AuMhWlvBrOs2JX3vPqVfm2hJ5gbJX1NqGkG:tYVn3j4D5qtM5VlvBgsfm05gOG,"404409.bin.TMP", Windows executable (MZ), 507904 bytes, rh:e88974264cac207fa47e6db0dcc5cb62, -
2020-06-29, "dll Trickbot", "http://45.140.16.6/api_dll.php", 3926f19854667c2b175a4d119a8935ee, 8e1a2db8735008bd22d91fead91e20d90502f059, d51247f67ae486851b5d1d7842c0c11988ea1812a30c583555572298bd337de5, 6144:tYVng4jpO/b5qt3cCe4AuMhWlvBrOs2JX3vPqVfm2hJ5gbJX1NqGkG:tYVn3j4D5qtMYVlvBgsfm05gOG,"404399.bin.TMP", Windows executable (MZ), 507904 bytes, rh:e88974264cac207fa47e6db0dcc5cb62, -
2020-06-29, "dll zloader", "http://205.185.125.104/files/june29.dll", 33a58437b5bc8f91e08960d2faa5f559, f015e16c3847edd004aba53f358fe43b28c4f818, dd84bd6db3500e786976d5c10fd2388a46dd5c34f79abd5dff624b9a568637aa, 12288:wqZWueyN5dS3ioH+5hM+2lraLDjxBRQPe1ZFeg7fQ5om6tc:wqZreyN5derQ/bRrZFdkM,"403296.bin.TMP", Windows executable (MZ), 586752 bytes, nh:6bbe7d32ca8fa98ab3b777520d98ba4a, mh:2366bc1813396bede21b2788cee9e8c1
2020-06-29, "doc", "https://p25.zdusercontent.com/attachment/2072873/TSv2MTIbJdJdXTBFAY5AfTTIv?token=eyJhbGciOiJkaXIiLCJlbmMiOiJBMTI4Q0JDLUhTMjU2In0..ShH8BLIs0XjzabOy-JROoQ._wWTMsq7FpEs3LSnIlxcaV7tckNF4Oc0nkJxvcnAmiLOMI-Fc8_HClZFqu5F6Y1jgfiQVaLEeC5fztBysEVOJhqsABssZnEpGl-opsOMWqZaEuJZwr0RnhJtJ7w0ebX6qU0QSK7xXRo7IjBJYBs5PcGxYkb7_vyWJsiK6I-vbIzjzgdZkh6TWHywQz4yd-BJTGf-AIl84K6DsyTPjzMkZ8fUOgrOMPt1HULJH5uQQpclbrx-2ewDm_UY-XSld29STr6PltqNUXakX8UAAhgaxIvvWr0X45PCifaLEwlWTwM.cnP_N-dcAlv6x1QarrcBXA/", 9f6bf45eed4a3cccf9cc4c23e873da5e, 395972faf45ff367eb4ef7b2fa5662ffca5a9dfa, 40855ca7eab2fce08dd77ed2bf7d971840beb944e15f3ea40078e9ad37b33ac1, 3072:m2yk0klTU1Jd4QE8FFp0R4eOY5CTsdAODm8PUkBF3ui9eExKzAMMnlXasZuWW8xq:m2yk0klTU1Jd4QEmFp8Tb3Dx3ui9eEI5,"403300.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 191589 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/arm", 34191924481393550ba39e076033c8f4, 5880c3ffbc4c650f7ac0f37991d0f34472b7a8cd, 1044914c786ce8892328422f672d292a471a0cc5c179bc9e144ce8c352e23be2, 768:d/9sim8yNqYw13oYJVwus/iy0Qs7nB3UB:d//mpqrpZV62QsS,"403150.bin.TMP", Linux executable (ELF), 30764 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/arm5", a3ee4eaea9bca96f15c5381b36e16484, b17aa6cd3f15975f5c68df5458f955f66b76de23, 3e7ac602b306950192faddb75e2d767970f500b2d6a141eab8079c6cc1c28bb5, 768:cssLrg50cblVbWTebk07+Np4QPBvahiu3UbDZ:tsH2xlVbk07+3pZD,"403151.bin.TMP", Linux executable (ELF), 27148 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/arm6", d7aba84303cb55cbf3731f7549b3b3e3, 7ed7d4255056813e7e802b2f8eb4034bd037070f, 84c73afc00acaca12b1f9d2727dabe02c1df128ae1bb3a1ad0e2bd1798da0cb7, 768:AdUIRDklx8B/CmuTd08qTE/PsnUIBXAw3q3UIb4:QHRDUuBqmA08uwPavY8,"403152.bin.TMP", Linux executable (ELF), 35384 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/arm7", ffeb144dbf2574968414ea74c9e49bf0, ef6e4f3894d843821774b66d83b362961e8b04ec, bc77b5cf98a28225e0080c8b7879ca0726bea8c48e7ac71c9a1c049b357f3a38, 1536:uWX8Nxn+aFAsLG43JMosFgVH7JYqn6Yg5T89:XXkn/FAh432osDY8T89,"403153.bin.TMP", Linux executable (ELF), 54948 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/m68k", 0fe748a3d3d2401f286bc5ade2af1f52, 6ae12939796020d3e93610790193c9b644458348, 5b62767c3fa69b839161a99f5fe26d99b9e69ea3827433fc3a5b462f6e72bdfe, 1536:rXfyXGAYmS4I3eSGSTdlg5YkOBGzwAOEpoO8+39IrIOUay0JgXri5:rXr3ZLlg5YkLa+V0G25,"403154.bin.TMP", Linux executable (ELF), 73080 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/mips", 57932e28d2ff5361cc28439eab7a0147, f69aa94499f3c4f9e759f6354a88b57ee158325f, ee9b54fc2c848feef9441496f9877de4d9ef237cd8b16d770fa2719369366fe7, 768:DJzRYvAicCP+wnqjmzQ0En4xzGB/JgGlzDpUYsM:2Aid+w/Q8zm9VqY/,"403155.bin.TMP", Linux executable (ELF), 24740 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/mpsl", f761ffa5dd65b811164a547fb7eccec5, bf8ad867a5ab21b49ad3216c91c888eb80eef6c6, a38025be457cf0edf19b170fa9232ac35d211bf4352111a8ede9bbe3d6709c52, 768:TWmpMr2i3+807khthdgh3/SRUZoTDeldGjE8YhcwqWMu:TWmai/8w/SgGE8YT,"403156.bin.TMP", Linux executable (ELF), 33704 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/ppc", 01091a3336439dc9cb95c04d6dccd4d1, 63059b1f1abd0020f1fa551bf2abda374085ae93, fc4be6ec82c79b0df6b0b521021468885bf6f6f732904baa7adc8b86a6d5d7f1, 768:YjnF4Fnw42p+eTIRyIOthGQ0CYlv+tIUno44uVcqgw0RTWX2:wnKnw4LYUSthGQRto44u+qgw01WX2,"403159.bin.TMP", Linux executable (ELF), 30052 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/sh4", a142783d40a51d969630c127fa244f3e, 6f1cf5c339b7ce9c16db32eab3142b5948ba2e8e, 35706a15d65becf565112f4c64990b8da6bcdf13ec387cb082cf3a3e415151c5, 1536:raC/U15GAewtuN7eq1GvfU3F88cnZzQnkDVCSpK:rb81kXNaqst8cnZzQnkDVE,"403157.bin.TMP", Linux executable (ELF), 66596 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/spc", 05aed49d4e926e4bb440f926217211a3, f6a1ed5f429324f79e08e78a7fcd4acb0f3fa833, 04bc76c9f0691b7f84badc9b1b4cb6f2ca3a345f169cd8f3069694b87c9c3dde, 768:XJoXcN7434flPLpq9Xog/79Lzn1kltL6WZ3pvmnJfaE1rJ/t1jGM98Cdauitu8AK:XJKyYGPLpSXb/79LznelWbT98p6+vHHR,"403158.bin.TMP", Linux executable (ELF), 76304 bytes, -, -
2020-06-29, "elf mirai upx", "http://37.49.224.46/bins/x86", 9ca0210600b17ec33afc11e3032b4761, b9ee51cc947df00d2520aace08873401c0cc82d4, c6491fda109a78b727221a71d5b22f991f1bd100894168d7579e189a53068323, 768:w+w3I4hpr1lP0mX1AkY1J+Xc3ydafbd0LRAnbcuyD7Uiyqp:wv5h51lhX1LYP+XcYG02nouy8Zqp,"403160.bin.TMP", Linux executable (ELF), 30940 bytes, -, -
2020-06-29, "elf mirai", "http://107.174.206.110/Pandoras_Box/pandora.m68k", 3cd4350826e7bd98122b7b1b0beb53d6, 28082a9b4646cde4c5fc1b881cd0870ca522a98f, b4801fff73f488ea44f5cac4622c6f39388d18f0710d9f65990d3de844f27a1b, 768:rmwHwFuADEQm8VJm5/ma6ekWii7xnllRxRvWugFN35p7BBLdm+f1prTjT+lQetW:7wFuAlnVo5/ma6MP36/7BBIg1pXOk,"403177.bin.TMP", Linux executable (ELF), 62292 bytes, -, -
2020-06-29, "elf mirai", "http://107.174.206.110/Pandoras_Box/pandora.ppc", aa41a95143d8323fc65cb5bd241b19df, 30a668779613fea2c3a962a2ed9663f1e09df587, 2059b215facba4afc3de66e8a43f5db4becea6f633266da965feca8822aeba56, 768:x0zlipKQt/M9Kr905YACVNoIdgxI+B5vTSmF6m3PpT5v9xTsllk5MutrPnL3NY0n:6iYQtO1ZCbWxdTpGk5zr604/V5yDOFub,"403180.bin.TMP", Linux executable (ELF), 74660 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.arm", 96bbd0b9d193d4199f70367d9a5146a6, ff28de31c33a84889a05be13ab0c2d103f907ed4, 4bd80cd05f08a293c3d772740dc1f02fd9001baf16444965b3f95e343f633680, 1536:/55o5mm7ji1BKN5vSgQhs8i4Bos5g4qA0nWI:/565mshEfhs8jus5gWoWI,"404419.bin.TMP", Linux executable (ELF), 59208 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.arm5", 0a91e7135b2b42b8238b181093ea582e, 16ebe06f811e4835e6dec4782d845d8396f45aab, 4eb152a7da7521832292e04069ed1ef60453d09cd1d8b821926eb1654e56a8e8, 768:phZzF7nm/1mIGZ4r5ZSvYDOirllr/jRBLJUFwm5VBFCvakOWgRUtI1tHYxPP21/F:7nmeZ49XjRNCL5VHWQEIr4B+15GnWI,"404411.bin.TMP", Linux executable (ELF), 50408 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.arm6", 655911f6a6e3b4c55ba1a3f5e7a25f80, 9771b5d3e1c44ba97052f6ed5ab1a82f73d2c7df, 5a0ef4819a5b02fe01ca362532f70f5c250886d43d4017845b438da904beb4c7, 1536:cWnxnarVNdTOLFO2E54vdmjUnup1oHSZYcoIQi75Pws1HLrWI:vYVPEFEKdmjy6SHm5Pws1HvWI,"404417.bin.TMP", Linux executable (ELF), 68712 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.arm7", 64081e8c1a5ab07820e9f0c9f4fa2e9f, 02a32d768dc05a297b89b23ddaf6b0d1a4fa53b8, 83a9176e31645952f3f43d157e2b220077dc554a91248000059419155fd768d3, 3072:Kog6tZ9OsXkHkOGRctZ1KoIru682cWIzWK3UM/9Y00aAA:dg6tZosXWLZ1KoIa6CWKEM/9T0aAA,"404410.bin.TMP", Linux executable (ELF), 132493 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.m68k", edfb6c920869050a52c584c3d2003f3b, b1f7ff72251aa063a79af83a8596ec433c828c70, 2d115592b2063a7b63d65d5052c567c6151fdaddbe5dff158007a8f2c09a2589, 1536:9sdmKeM6XG1EMz025p62uFuyXM2cvAAoEwOiAGtKkuJKFXlHuOS67MRerEJu5lPF:+dLeVaJCCsGw5d/gm,"404412.bin.TMP", Linux executable (ELF), 58824 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.mips", 632f30af43d81fc56049c96ea44ea514, 971ac08663fe9e9836de62c0782d3148a260dad7, c07538c51ad18990c6f0579dd7e9ac75e0415b9e1dddeda170be5441fd8b2dbc, 1536:5B5M3KTSzTHATTdAVrNyczUo/OJaGF8OlrE5ot/TUAaUWIr:5Be32SYTaV5yczUo/OJaxO+5ot/Tr9Wa,"404413.bin.TMP", Linux executable (ELF), 75924 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.mpsl", fea023f0da92d4439cf8623bc8debe1e, 64a42410865d543f7865b42f463fe0a8679d61a0, 9654f974fcbcbeace43e1929f522460fd9eb5bf1f3bd9f4fd7515f4dcac9bddd, 1536:hduW6icnT3Rxcqhrx0Mpo/PwvZ1NisgiWI6:hdudtThRgwvJWI,"404415.bin.TMP", Linux executable (ELF), 76692 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.ppc", 8aa95da0793b67fcedd1736367615609, 1412906978753bf040e94ad0b9e0dfcda7aa51b2, 6dd47c9f68e3bac94bd58be85679c604747e8568bc0f3666d5548957954a674c, 768:wupCpW9b31fY7myxJb3RDLOcBD1qvfi6R7Bz+BHyjSWiAO0U2VnLosX21KNIY1/A:2Kb31fY7hLp5dER+WiWUErX1NI47nWIk,"404414.bin.TMP", Linux executable (ELF), 55832 bytes, -, -
2020-06-29, "elf mirai", "http://142.11.206.180/bins/Slsmodsd.sh4", e7c63df87a54b41d831b427cb506f581, 35b466ef92765475b57b12112041730a41204bd7, 3381eb78fc51081bd1e40f85617b755a11a86318d6de08e270768fc3b1593f61, 768:Ha6MKwtAkVLuLyuueU+kBhKDfVpvAy3B8Th4CMohSubjCmxnrKI:HaNKwt/pYkQnvAyx894YhvjCmxnWI,"404416.bin.TMP", Linux executable (ELF), 51960 bytes, -, -
